アンケート回答日,居住都道府県,性別,年代,職種,世帯年収,同行者,宿泊数（全行程）,宿泊エリア（県外）,宿泊数（県内）,宿泊市町村(1泊目),食事の組み合わせ（1泊目）,宿泊市町村(2泊目),食事の組み合わせ（2泊目）,宿泊市町村(3泊目),食事の組み合わせ（3泊目）,宿泊市町村(4泊目),食事の組み合わせ（4泊目）,交通手段（来県）,交通手段（県内）,満足度（交通）,来県回数,訪問目的,情報源（デジタル）,情報源（デジタル以外）,比較した都道府県の有無,比較した都道府県,比較した都道府県の観光地,消費金額（交通費）,消費金額（飲食費）,消費金額（宿泊費）,消費金額（買い物（工芸品・特産品等）費）,消費金額（観光・体験費）,訪問場所,訪問した寿司店形態,訪問したます寿し店形態,海の幸（食べた）,海の幸（感動した）,満足度（食べ物・料理）,満足度（宿泊施設）,満足度（買い物（工芸品・特産品など））,満足度（観光・体験）,満足度（旅行全体）,満足度理由,不便に感じたこと・困ったこと,最も幸せを感じた食べ物,最も幸せを感じた観光・体験,おすすめ度,再訪意向,自由意見,回答場所
2025/04/27,愛知県,男性,60代,会社員,2: 300〜599万円,友人・知人,1泊,富山県以外には宿泊しない,1泊,氷見市,朝食のみ,,,,,,,自家用車,自家用車,,３回目,"宿でのんびり過ごす, 温泉や露天風呂",富山県観光公式サイト「とやま観光ナビ」,口コミ（友人・恋人）,ない,,,使わない,"5,000円以上10,000円未満","20,000円以上30,000円未満","3,000円以上5,000円未満",使わない,"雨晴海岸, 海王丸パーク, 新湊大橋, 新湊きっときと市場, 高岡大仏",持ち帰り（道の駅・スーパーなど）,食べていない,"ブリ, フクラギ（イナダ、ハマチ）, 紅ズワイガニ, 甘エビ, ホタルイカ, ウマヅラハギ",紅ズワイガニ,大いに満足,満足,普通,普通,満足,,,,,8,来年もまた行きたい,,宿泊先
2025/04/27,埼玉県,男性,30代,会社員,3: 600〜1000万円,子供連れ家族（一番下のお子様が未就学児）,1泊,富山県以外には宿泊しない,1泊,氷見市,夕・朝２食付き,,,,,,,自家用車,自家用車,,７回目,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 名所、旧跡、寺社仏閣の観光, お祭りやイベントへの参加・見物","X（旧Twitter）, 富山県観光公式サイト「とやま観光ナビ」",富山県観光公式のパンフレット,ない,,,使わない,"5,000円以上10,000円未満","10,000円以上20,000円未満","3,000円以上5,000円未満","1,000円以上3,000円未満","砺波チューリップ公園, 富岩運河環水公園",回転寿司店（地元）,食べていない,"ブリ, フクラギ（イナダ、ハマチ）, ホタルイカ, バイガイ, ハチメ、ノドグロ","ブリ, フクラギ（イナダ、ハマチ）, バイガイ, ノドグロ",大いに満足,大いに満足,満足,満足,大いに満足,地元では生物が苦手で食べなかったけど、富山のお刺身やお寿司は食べれた。,お寿司屋さんで席が空いているのになかなか案内されず、子供がお腹すいたー！ってずっと言っていた。,ノドグロのお寿司,チューリップの色とりどりを見てこと,10,来年もまた行きたい,子供が楽しめる所が多い。,砺波市,
2025/04/27,愛知県,男性,60代,自営業,2: 300〜599万円,大人の家族（18歳以上の子供含む）,1泊,富山県以外には宿泊しない,1泊,滑川市,夕・朝２食付き,,,,,,,自家用車,自家用車,,５回目,地元の美味しいものを食べる,宿泊施設のウェブサイト,口コミ（友人・恋人）,ない,,,使わない,"1,000円以上3,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","1,000円未満","海王丸パーク, 新湊きっときと市場, ほたるいかミュージアム",回転寿司店（地元）,持ち帰り（道の駅・スーパーなど）,"紅ズワイガニ, シロエビ, ホタルイカ","シロエビ, ホタルイカ",大いに満足,満足,満足,普通,満足,,,,,8,来年もまた行きたい,,滑川市
2025/04/27,三重県,無回答,60代,会社員,3: 600〜1000万円,子供連れ家族（一番下のお子様が未就学児）,1泊,富山県以外には宿泊しない,1泊,高岡市,朝食のみ,,,,,,,自家用車,自家用車,,２回目,友人・親戚を訪ねる,宿泊予約Webサイト,口コミ（家族）,ある,石川県,金沢,"3,000円以上5,000円未満","20,000円以上30,000円未満","5,000円以上10,000円未満","10,000円以上20,000円未満","3,000円以上5,000円未満","雨晴海岸, 二上山",回転寿司店（地元）,回転寿司店（地元）,"ブリ, 甘エビ, バイガイ","ブリ, バイガイ",満足,満足,満足,満足,満足,子供達が二上山の釣鐘に大喜び,夕食のコスパ,寿司,二上山,7,機会があれば行きたい,,高岡市,
2025/04/27,東京都,男性,40代,会社員,2: 300〜599万円,夫婦,1泊,富山県以外には宿泊しない,1泊,黒部市,夕・朝２食付き,,,,,,,新幹線,在来線・私鉄・路面電車,普通,１回目,花見や紅葉などの自然鑑賞,"富山県内市町村の観光公式サイト, 宿泊施設のウェブサイト",テレビ番組,ある,石川県,金沢,"5,000円以上10,000円未満","20,000円以上30,000円未満","30,000円以上40,000円未満","5,000円以上10,000円未満","5,000円以上10,000円未満","あさひ舟川「春の四重奏」, 宇奈月温泉, 黒部峡谷鉄道, 立山黒部アルペンルート",食べていない,食べていない,"シロエビ, ホタルイカ","シロエビ, ホタルイカ",大いに満足,大いに満足,満足,大いに満足,大いに満足,,電車の乗り方や乗り継ぎ,ホタルイカのしゃぶしゃぶ,アルペンルート,7,機会があれば行きたい,,宿泊先
2025/04/27,富山県,女性,40代,会社員,1: 300万円未満,その他,日帰り,,,,,,,,,,,自家用車,自家用車,,１０回目以上,出張など仕事関係,SNS広告,富山県観光公式のパンフレット,ない,,,"5,000円以上10,000円未満","5,000円以上10,000円未満","20,000円以上30,000円未満","3,000円以上5,000円未満","1,000円未満",富岩運河環水公園,食べていない,食べていない,ホタルイカ,ホタルイカ,普通,普通,普通,普通,普通,,,,,3,機会があれば行きたい,,宿泊先
2025/04/27,富山県,女性,30代,会社員,6: 無回答,ひとり,1泊,富山県以外には宿泊しない,1泊,富山市,夕・朝２食付き,,,,,,,自家用車,自家用車,,１回目,宿でのんびり過ごす,X（旧Twitter）,富山県観光公式のパンフレット,ない,,,"1,000円未満","1,000円以上3,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","1,000円以上3,000円未満",砺波チューリップ公園,専門店,駅（売店・自販機など）,"ブリ, 紅ズワイガニ",ブリ,満足,満足,満足,満足,満足,,,,,10,機会があれば行きたい,,富山市,富山市まちなか観光案内所
2025/04/27,石川県,女性,50代,経営者・役員,3: 600〜1000万円,その他,1泊,石川県,1泊,富山市,朝食のみ,,,,,,,自家用車,自家用車,大いに満足,１回目,出張など仕事関係,"X（旧Twitter）, Instagram, Facebook",口コミ（友人・恋人）,ない,,,"20,000円以上30,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","3,000円以上5,000円未満","3,000円以上5,000円未満",あさひ舟川「春の四重奏」,食べていない,食べていない,食べていない,食べていない,普通,普通,普通,普通,普通,コンパクトシティで迷子になりにくい,想像より寒い,富山県の人柄,これからいきます,5,機会があれば行きたい,お祭り,宿泊先
2025/04/27,長野県,女性,50代,専業主婦・主夫,4: 1000〜2000万円,夫婦,2泊,富山県以外には宿泊しない,2泊,氷見市,食事なし（素泊まり）,氷見市,食事なし（素泊まり）,,,,,自家用車,自家用車,,３回目,地元の美味しいものを食べる,YOUTUBE,前回富山旅行で得た情報,ない,,,"50,000円以上100,000円未満","20,000円以上30,000円未満","20,000円以上30,000円未満","5,000円以上10,000円未満",使わない,雨晴海岸,専門店,専門店,"シロエビ, ホタルイカ","フクラギ（イナダ、ハマチ）, ホタルイカ",大いに満足,普通,普通,普通,満足,お寿司がめちゃくちゃ美味しかったから,楽しみにしていたます寿司屋さんが休みで残念。,すし屋の城光さんのコース料理,雨晴海岸,8,機会があれば行きたい,ます寿司店が少ない気がする,氷見市,
2025/04/27,富山県,男性,60代,会社員,3: 600〜1000万円,大人の家族（18歳以上の子供含む）,1泊,富山県以外には宿泊しない,2泊,富山市,夕・朝２食付き,,,,,,,自家用車,自家用車,大いに満足,５回目,宿でのんびり過ごす,富山県観光公式サイト「とやま観光ナビ」,口コミ（友人・恋人）,ある,石川県,石川県,"5,000円以上10,000円未満","10,000円以上20,000円未満","3,000円以上5,000円未満","5,000円以上10,000円未満","5,000円以上10,000円未満",黒部ダム,専門店,専門店,ブリ,紅ズワイガニ,大いに満足,大いに満足,大いに満足,大いに満足,大いに満足,気持ちが良い,交通機関が少ない,ブリ,富山市,10,来年もまた行きたい,良かった,富山市,富山市まちなか観光案内所
2025/04/27,富山県,女性,60代,専業主婦・主夫,4: 1000〜2000万円,友人・知人,1泊,長野県,1泊,富山市,夕・朝２食付き,,,,,,,県外から訪れていない（富山県在住）,自家用車,大いに満足,２回目,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる","Instagram, 富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト, 宿泊施設のウェブサイト",口コミ（友人・恋人）,ない,,,使わない,使わない,使わない,使わない,使わない,友人と会う,食べていない,食べていない,"紅ズワイガニ, シロエビ, ホタルイカ","紅ズワイガニ, ホタルイカ",大いに満足,大いに満足,大いに満足,大いに満足,大いに満足,ホテルの方々の対応が素晴らしかったです,なし,美味しそう食事,新しい友人が出来た,10,富山県在住,,宿泊先
2025/04/27,富山県,女性,60代,パート・アルバイト,4: 1000〜2000万円,大人の家族（18歳以上の子供含む）,1泊,石川県,1泊,富山市,夕・朝２食付き,,,,,,,自家用車,自家用車,満足,２回目,温泉や露天風呂,宿泊施設のウェブサイト,口コミ（友人・恋人）,ない,,,"40,000円以上50,000円未満","20,000円以上30,000円未満","40,000円以上50,000円未満","1,000円以上3,000円未満",使わない,称名滝,食べていない,食べていない,"紅ズワイガニ, ホタルイカ",紅ズワイガニ,大いに満足,大いに満足,満足,満足,満足,,,,,5,機会があれば行きたい,,富山市
2025/04/27,富山県,女性,70代,無職,3: 600〜1000万円,友人・知人,1泊,名古屋,1泊,富山市,朝食のみ,,,,,,,自家用車,自家用車,,２回目,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる","宿泊施設のウェブサイト, 宿泊予約Webサイト",口コミ（家族）,ない,,,使わない,使わない,使わない,使わない,使わない,称名滝,食べていない,食べていない,"紅ズワイガニ, シロエビ",シロエビ,大いに満足,大いに満足,普通,普通,大いに満足,気持ちの良い,,,宿泊先の雅樂,10,来年もまた行きたい,,宿泊先
2025/04/27,富山県,女性,80歳以上,経営者・役員,3: 600〜1000万円,ひとり,1泊,石川県,1泊,富山市,夕・朝２食付き,富山市,夕・朝２食付き,,,,,自家用車,自家用車,大いに満足,１０回目以上,宿でのんびり過ごす,YOUTUBE,口コミ（家族）,ない,,,"40,000円以上50,000円未満","30,000円以上40,000円未満","5,000円以上10,000円未満",使わない,使わない,岩瀬エリア,専門店,食べていない,"ブリ, 紅ズワイガニ, シロエビ, ホタルイカ","ブリ, 紅ズワイガニ, シロエビ, 甘エビ, ホタルイカ",大いに満足,大いに満足,大いに満足,大いに満足,大いに満足,,,,,8,来年もまた行きたい,,富山市,富山市まちなか観光案内所
2025/04/27,富山県,男性,70代,定年退職,3: 600〜1000万円,友人・知人,1泊,新潟県,1泊,富山市,夕・朝２食付き,,,,,,,自家用車,自家用車,,２回目,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 友人・親戚を訪ねる, 健康を増進する",宿泊施設のウェブサイト,口コミ（友人・恋人）,ある,愛知県,名古屋城,"1,000円未満",使わない,使わない,使わない,使わない,黒部峡谷鉄道,食べていない,食べていない,"ブリ, 紅ズワイガニ, シロエビ, ホタルイカ","ブリ, 紅ズワイガニ, シロエビ, ホタルイカ",大いに満足,大いに満足,普通,大いに満足,大いに満足,,,,,10,来年もまた行きたい,,宿泊先
2025/04/27,鹿児島県,女性,40代,パート・アルバイト,1: 300万円未満,大人の家族（18歳以上の子供含む）,日帰り,,,,,,,,,,,自家用車,自家用車,満足,２回目,"友人・親戚を訪ねる, 帰省",富山県観光公式サイト「とやま観光ナビ」,口コミ（家族）,ない,,,"10,000円以上20,000円未満",使わない,使わない,"10,000円以上20,000円未満",使わない,氷見『ばんやがい』,食べていない,食べていない,"ブリ, 甘エビ",甘エビ,大いに満足,大いに満足,大いに満足,満足,大いに満足,うららかな春の快晴の元、氷見海岸も穏やかで景色も良く、美味しい料理と、湯加減ちょうどの温泉に、気分もスッキリしたから。,,,氷見海岸,10,機会があれば行きたい,鹿児島県に住んでいると、富山県というと皆口を揃えて、魚の美味しい県だと言うし、イメージも魚がすぐに思い浮かぶようだ。お土産に、日持ちのするお菓子がなかなか思い浮かばない。かきやまは、歯が弱いお年寄りには遠慮される。何かオススメお菓子ないかなぁ。,氷見市,
2025/04/27,岐阜県,女性,50代,教育機関職員,4: 1000〜2000万円,友人・知人,日帰り,,,,,,,,,,,自家用車,自家用車,,６回目,"地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, お祭りやイベントへの参加・見物, 趣味を満喫、推し活（好きなアイドル・アニメなどを）応援する","富山県内市町村の観光公式サイト,",チューリップのカタログ,ない,,,使わない,"1,000円以上3,000円未満",使わない,"30,000円以上40,000円未満",使わない,"砺波チューリップ公園, 夢の平コスモス荘そば祭り",食べていない,食べていない,食べていない,食べていない,大いに満足,普通,満足,大いに満足,大いに満足,好きなチューリップの球根が買えたから。買えなかったチューリップの生産をお願いできたから。 蕎麦や山菜が美味しかったから。,チューリップ公園の駐車場案内が下手だと思いました。満車になったらどの駐車場に案内するか、予め考えておくべきだと思いました。,山菜の天ぷら。,チューリップ公園のチューリップ。ほぼ満開でした。,10,来年もまた行きたい,呉羽梨がパーキングエリアで買えるのでありがたいです。大きくて美味しいです。 宿泊していないのに、宿泊の感想を必須にされても困ります。,砺波市,
2025/04/27,茨城県,女性,50代,自由業,1: 300万円未満,夫婦,2泊,富山県以外には宿泊しない,2泊,魚津市,朝食のみ,魚津市,朝食のみ,,,,,新幹線,在来線・私鉄・路面電車,大いに満足,２回目,"地元の美味しいものを食べる, お祭りやイベントへの参加・見物",Facebook,口コミ（家族）,ない,,,"20,000円以上30,000円未満","5,000円以上10,000円未満","5,000円以上10,000円未満","3,000円以上5,000円未満","3,000円以上5,000円未満",富岩運河環水公園,専門店,駅（売店・自販機など）,フクラギ（イナダ、ハマチ）,フクラギ（イナダ、ハマチ）,大いに満足,大いに満足,大いに満足,大いに満足,大いに満足,空気が美味しい、食べ物が美味しい、景色が綺麗。ホテルも最高で、大満足です。,特にありません,寿司,富山駅前や駅周辺のハンギングのお花がとても綺麗で感動しました！,10,機会があれば行きたい,いつも富山駅周辺のお花が綺麗で感動します。おもてなしされている感じがしてとても嬉しいのです。観光パンフレットなども充実していますし、富山県は魅力がいっぱいあってとても素敵なところだと思います。,宿泊先
2025/04/27,富山県,女性,30代,医師,3: 600〜1000万円,子供連れ家族（一番下のお子様が未就学児）,日帰り,,,,,,,,,,,県外から訪れていない（富山県在住）,自家用車,,７回目,地元の美味しいものを食べる,宿泊施設のウェブサイト,口コミ（家族）,ない,,,"1,000円以上3,000円未満","5,000円以上10,000円未満",使わない,"1,000円以上3,000円未満","1,000円未満","富山県美術館, 富岩運河環水公園",食べていない,食べていない,"ブリ, ホタルイカ",どれにも感動していない,普通,普通,満足,満足,満足,子供達に良い経験をしてもらえたから,,ブリ照り焼き,環水公園の船に乗ったこと,10,富山県在住,鮮度のある海産物を食べたい,富山市,富山県富岩運河環水公園
2025/04/27,東京都,女性,20代,会社員,1: 300万円未満,友人・知人,1泊,富山県以外には宿泊しない,1泊,立山町,夕・朝２食付き,,,,,,,新幹線,"在来線・私鉄・路面電車, 路線バス",大いに満足,１回目,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, お祭りやイベントへの参加・見物","富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト, 宿泊施設のウェブサイト, 宿泊予約Webサイト",口コミ（友人・恋人）,ない,,,"10,000円以上20,000円未満","5,000円以上10,000円未満","10,000円以上20,000円未満","3,000円以上5,000円未満","1,000円以上3,000円未満",立山黒部アルペンルート,食べていない,食べていない,ホタルイカ,ホタルイカ,大いに満足,大いに満足,大いに満足,大いに満足,大いに満足,この日のために節約してお金を貯めて、日々の仕事の疲れが吹っ飛ぶ絶景と体験ができた。山菜やホタルイカ等、富山や立山ならではのものを食べることができ、非常に美味しかった。またグルメや観光のために、富山に足を運びたいと思った。,特にありません。,ホタルイカ,アルペンルートの景色,10,来年もまた行きたい,ホタルイカ等有名な食べ物は東京でも食べることが出来るが、富山で食べると格別で、それだけで再訪する理由になりました。併せてホタルイカミュージックも次回の観光で訪れたいです。,立山町,
2025/04/27,富山県,男性,40代,士業（公認会計士・弁護士・税理士・司法書士）,3: 600〜1000万円,子供連れ家族（一番下のお子様が未就学児）,日帰り,,,,,,,,,,,県外から訪れていない（富山県在住）,自家用車,,１０回目以上,友人・親戚を訪ねる,"宿泊予約Webサイト, Googleマップ",口コミ（家族）,ない,,,"1,000円未満","50,000円以上100,000円未満",使わない,"3,000円以上5,000円未満","1,000円以上3,000円未満","富山県美術館, 水墨美術館",居酒屋・レストラン（チェーン店）,食べていない,"ブリ, フクラギ（イナダ、ハマチ）, 紅ズワイガニ, シロエビ, 甘エビ, ホタルイカ, ゲンゲ","ブリ, フクラギ（イナダ、ハマチ）, 紅ズワイガニ, シロエビ, 甘エビ, ホタルイカ, ゲンゲ",大いに満足,大いに満足,大いに満足,大いに満足,大いに満足,,,,,10,富山県在住,,富山市,富山県富岩運河環水公園
2025/04/27,岐阜県,男性,60代,会社員,3: 600〜1000万円,夫婦,1泊,富山県以外には宿泊しない,1泊,高岡市,朝食のみ,,,,,,,自家用車,自家用車,,５回目,地元の美味しいものを食べる,宿泊施設のウェブサイト,よく来てるから,ない,,,"30,000円以上40,000円未満","20,000円以上30,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","海王丸パーク, 新湊きっときと市場, 高岡大仏, ほたるいかミュージアム",回転寿司店（地元）,持ち帰り（道の駅・スーパーなど）,"ブリ, フクラギ（イナダ、ハマチ）, 紅ズワイガニ, シロエビ, ホタルイカ, ゲンゲ, バイガイ","ブリ, フクラギ（イナダ、ハマチ）, 紅ズワイガニ, シロエビ, ホタルイカ, ゲンゲ, バイガイ",大いに満足,満足,大いに満足,大いに満足,大いに満足,,,ホタルイカ,,10,来年もまた行きたい,,高岡市
2025/04/27,神奈川県,男性,70代,教育機関職員,2: 300〜599万円,夫婦,1泊,富山県以外には宿泊しない,1泊,氷見市,夕・朝２食付き,,,,,,,自家用車,自家用車,,３回目,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 買い物（工芸品・特産品など）, まちあるき、都市散策各種体験（手作り、果物狩りなど）",富山県観光公式サイト「とやま観光ナビ」,"口コミ（家族）, 観光展・物産展, テレビ番組",ない,,,使わない,"3,000円以上5,000円未満","20,000円以上30,000円未満","5,000円以上10,000円未満",使わない,"新湊大橋, 新湊きっときと市場,",回転寿司店（地元）,持ち帰り（道の駅・スーパーなど）,"ブリ, フクラギ（イナダ、ハマチ）, 紅ズワイガニ, シロエビ, 甘エビ, ホタルイカ, ウマヅラハギ, バイガイ,","ブリ, フクラギ（イナダ、ハマチ）, 紅ズワイガニ, シロエビ, 甘エビ, ホタルイカ, ウマヅラハギ, バイガイ,",大いに満足,大いに満足,大いに満足,大いに満足,大いに満足,自然と新鮮な魚介類、お土産や地酒,,新鮮な魚介類,番屋街と温泉,10,来年もまた行きたい,海の景色や山並み、そして新鮮な魚介類、更には温泉,宿泊先
2025/04/27,新潟県,女性,60代,経営者・役員,2: 300〜599万円,大人の家族（18歳以上の子供含む）,1泊,富山県以外には宿泊しない,1泊,朝日町,夕・朝２食付き,,,,,,,自家用車,自家用車,,２回目,"温泉や露天風呂, 地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 名所、旧跡、寺社仏閣の観光","富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト",旅行会社のパンフレット,ない,,,使わない,"1,000円以上3,000円未満","20,000円以上30,000円未満","5,000円以上10,000円未満",使わない,"あさひ舟川「春の四重奏」, チューリップロード",食べていない,食べていない,"フクラギ（イナダ、ハマチ）, 紅ズワイガニ, シロエビ, 甘エビ, ホタルイカ","フクラギ（イナダ、ハマチ）, 紅ズワイガニ, シロエビ, ホタルイカ, 鮑",大いに満足,大いに満足,満足,普通,大いに満足,魚が新鮮で美味しい,,カニ,,10,機会があれば行きたい,新鮮な海の幸があって、温泉もとても良い,宿泊先
2025/04/27,北海道,女性,70代,専業主婦・主夫,2: 300〜599万円,夫婦,4泊以上,石川県,4泊以上,立山町,夕・朝２食付き,黒部市,夕・朝２食付き,氷見市,夕・朝２食付き,高岡市,朝食のみ,レンタカー,レンタカー,,３回目,"温泉や露天風呂, 地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 名所、旧跡、寺社仏閣の観光",宿泊施設のウェブサイト,"口コミ（家族）, 旅行会社のパンフレット",ない,,,"100,000円以上","30,000円以上40,000円未満","30,000円以上40,000円未満","10,000円以上20,000円未満","3,000円以上5,000円未満","雨晴海岸, 宇奈月温泉, 海王丸パーク, 黒部峡谷鉄道, 高岡大仏, 立山黒部アルペンルート, 富山県美術館",専門店,回転寿司店（地元）,"ブリ, 紅ズワイガニ, ホタルイカ","ブリ, ホタルイカ",満足,満足,満足,満足,満足,観光の案内が非常にわかりやすく紹介されている。また展示物も興味深いものが多い。,駐車場,ホタルイカ　イチゴ,博物館　美術館,9,来年もまた行きたい,宿泊料金をもう少し下げて欲しい。 その分、お土産の費用に回せる。,富山市,富山市まちなか観光案内所
2025/04/27,東京都,女性,50代,専業主婦・主夫,4: 1000〜2000万円,大人の家族（18歳以上の子供含む）,1泊,富山県以外には宿泊しない,1泊,高岡市,夕・朝２食付き,,,,,,,自家用車,自家用車,,２回目,"温泉や露天風呂, 名所、旧跡、寺社仏閣の観光, 買い物（工芸品・特産品など）",まとめサイト,旅行ガイドブック,ない,,,使わない,"5,000円以上10,000円未満","20,000円以上30,000円未満","3,000円以上5,000円未満","5,000円以上10,000円未満","雨晴海岸, 海王丸パーク, 新湊大橋, 新湊きっときと市場, 高岡大仏",専門店,食べていない,"ブリ, シロエビ, 甘エビ, ホタルイカ",シロエビ,大いに満足,大いに満足,満足,満足,満足,GW中でしたか、観光場所は、さほど混んでなく、スムーズでした,特になし,白エビ,立山連峰,9,機会があれば行きたい,ブリが沢山食べたい,高岡市,
2025/04/27,神奈川県,女性,40代,会社員,6: 無回答,夫婦,4泊以上,新潟　石川　福井,1泊,富山市,夕・朝２食付き,,,,,,,自家用車,自家用車,,２回目,"文化施設の見学・体験（美術館・博物館など）, まちあるき、都市散策各種体験（手作り、果物狩りなど）, ドライブ・ツーリング",宿泊施設のウェブサイト,Googleマップ,ある,秋田県,乳頭温泉郷,"10,000円以上20,000円未満","1,000円以上3,000円未満","10,000円以上20,000円未満","1,000円以上3,000円未満","1,000円以上3,000円未満",八尾観光会館,食べていない,食べていない,"甘エビ, ホタルイカ",ホタルイカ,大いに満足,大いに満足,大いに満足,大いに満足,大いに満足,綺麗だった,特にない,ホタルイカ,ホテルの接客,5,機会があれば行きたい,,宿泊先
2025/04/27,愛知県,女性,40代,会社員,3: 600〜1000万円,子供連れ家族（一番下のお子様が未就学児）,1泊,富山県以外には宿泊しない,1泊,氷見市,夕・朝２食付き,,,,,,,自家用車,自家用車,,２回目,友人・親戚を訪ねる,"宿泊施設のウェブサイト, 宿泊予約Webサイト",特になし,ない,,,"30,000円以上40,000円未満","3,000円以上5,000円未満","20,000円以上30,000円未満","1,000円以上3,000円未満","1,000円未満",海王丸パーク,回転寿司店（地元）,食べていない,"ブリ, シロエビ, 甘エビ, ホタルイカ, ゲンゲ, バイガイ","ホタルイカ, うに",大いに満足,大いに満足,満足,満足,満足,天気良く順調,,刺し身,,10,来年もまた行きたい,新鮮な海の幸,宿泊先
2025/04/27,新潟県,女性,40代,会社員,3: 600〜1000万円,子供連れ家族（一番下のお子様が小学生～高校生）,1泊,富山県以外には宿泊しない,1泊,高岡市,夕・朝２食付き,,,,,,,自家用車,自家用車,,２回目,"地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 工場の見学・体験","Instagram, 富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト, 宿泊施設のウェブサイト",雑誌の特集記事,ない,,,"3,000円以上5,000円未満","5,000円以上10,000円未満","20,000円以上30,000円未満","3,000円以上5,000円未満","1,000円以上3,000円未満",黒部峡谷鉄道,食べていない,食べていない,"フクラギ（イナダ、ハマチ）, 甘エビ, ホタルイカ, ゲンゲ","ホタルイカ, ゲンゲ",満足,満足,大いに満足,大いに満足,大いに満足,天候にも恵まれ、富山でしか体験できないことができたから,,お米,富山湾の眺め,10,来年もまた行きたい,地元の新鮮なお魚とお米,宿泊先
2025/04/27,千葉県,男性,40代,会社員,2: 300〜599万円,ひとり,2泊,新潟県,2泊,富山市,食事なし（素泊まり）,,,,,,,新幹線,"在来線・私鉄・路面電車, 路線バス",普通,１回目,スポーツ観戦や芸術鑑賞（コンサート等）,X（旧Twitter）,テレビ・ラジオ,ある,新潟県,糸魚川,"1,000円以上3,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","3,000円以上5,000円未満","3,000円以上5,000円未満",富山市ガラス美術館,食べていない,食べていない,ホタルイカ,シロエビ,満足,普通,普通,普通,普通,,,,,8,機会があれば行きたい,,富山市,富山市まちなか観光案内所
2025/04/28,神奈川県,男性,40代,公務員,4: 1000〜2000万円,夫婦,2泊,富山県以外には宿泊しない,2泊,富山市,食事なし（素泊まり）,富山市,食事なし（素泊まり）,,,,,"新幹線, 在来線","レンタカー, 徒歩",大いに満足,１回目,"地元の美味しいものを食べる, 名所、旧跡、寺社仏閣の観光, まちあるき、都市散策各種体験（手作り、果物狩りなど）, 趣味を満喫、推し活（好きなアイドル・アニメなどを）応援する, 指導教官の退官講演・パーティーへの出席のため","Instagram, 宿泊施設のウェブサイト, 宿泊予約Webサイト","口コミ（家族）, 富山県観光公式のパンフレット",ない,,,"5,000円以上10,000円未満","20,000円以上30,000円未満","10,000円以上20,000円未満","5,000円以上10,000円未満","1,000円未満","五箇山, 砺波チューリップ公園, 富岩運河環水公園",食べていない,持ち帰り（道の駅・スーパーなど）,食べていない,食べていない,大いに満足,大いに満足,満足,満足,満足,,愛犬と一緒に旅行しましたが、一緒に入れる施設が少ないと感じました。(砺波のチューリップ公園は入場不可なのはビックリしました。愛犬を専用のリュックに入れて迷惑のかからないように公共交通機関(新幹線、在来線など)にも乗れているのに、園内に一緒に入れないのは残念でした。一律に排除ではなく、同意書などでマナーを守れる(何かあった場合は飼い主が責任を持てる)ペットの入場はできるようにして頂けるとありがたいです。ちなみに、五箇山の国の重要指定文化財の村上邸では、「汚さなければ」とのことでリュックに入れて観光させて頂き、満足しております。),,五箇山です。(特に村上邸では大変お世話になりました),8,機会があれば行きたい,愛犬も一緒に行動できる場所が増えれば、もっと関東から富山に愛犬家が旅行に来ると思います。,宿泊先
2025/04/28,富山県,女性,70代,パート・アルバイト,1: 300万円未満,夫婦,1泊,富山県以外には宿泊しない,1泊,氷見市,夕・朝２食付き,,,,,,,自家用車,自家用車,,１０回目以上,宿でのんびり過ごす,宿泊施設のウェブサイト,口コミ（友人・恋人）,ない,,,使わない,"1,000円以上3,000円未満","10,000円以上20,000円未満","1,000円以上3,000円未満","1,000円以上3,000円未満","雨晴海岸, 海王丸パーク, 新湊大橋",回転寿司店（地元）,食べていない,"ブリ, 甘エビ, ホタルイカ","甘エビ, ホタルイカ",大いに満足,大いに満足,普通,大いに満足,大いに満足,天候に恵まれ 美しい自然と美味しい食事,,甘エビ、 ホタルイカ,,10,富山県在住,,宿泊先
